Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1248,0,1200.0,1606.694849528063,548.8557499993476,7966.156165999564,32792.0,10.445755205785717,0.0,1200,1400,1700,2100,3000,4200,5200,6600,8000,8000,8000
GET,/appointment-service/appointments,3350,0,1100.0,1496.3522857722578,462.12083399950643,6762.23391700114,33464.0,28.039487130915187,0.0,1100,1300,1500,1800,2800,3600,4900,5300,6400,6800,6800
,Aggregated,4598,0,1100.0,1526.3017245646092,462.12083399950643,7966.156165999564,33281.60417572858,38.4852423367009,0.0,1100,1300,1500,1800,2900,3800,5000,5500,7900,8000,8000
